settlement_id,txn_ref,merchant_id,gross_amount,fee,tax_on_fee,net_amount,settlement_date,utr_number,status
setl_4d8wz42o83rlkt,order_5e5iz31yrujoqw,mer_xaji0y6dpbhsah,18200.00,367.00,66.06,13828.62,2026-07-17,HDFCN20260717931221434,refund
setl_6fokzixzareiya,order_261bw4a7fq9p96,mer_xaji0y6dpbhsah,815.00,19.30,3.47,790.78,2026-07-11,HDFCN20260711813510897,processed
setl_wph6fe0mp2ixiv,order_yrid3dnkn35xyc,mer_xaji0y6dpbhsah,46511.00,933.22,167.98,45409.49,2026-07-25,HDFCN20260725542070132,processed
setl_y181acjbc2swso,order_4xkss0kb68rerv,mer_xaji0y6dpbhsah,5395.00,110.90,19.96,5266.14,2026-07-15,HDFCN20260715686645526,processed
setl_00ezzf8s2zge2j,order_jlsh3tow4ycz04,mer_xaji0y6dpbhsah,209.50,7.19,1.29,201.24,2026-07-22,HDFCN20260722815197502,processed
setl_bn7g8b2zxii6l3,order_1b3jczucqmrunj,mer_xaji0y6dpbhsah,4662.99,96.26,17.33,4549.40,2026-07-02,HDFCN20260702362585121,processed
setl_61iaoim458ax40,order_eybisbo551ldqn,mer_xaji0y6dpbhsah,56795.00,1138.90,205.00,55451.10,2026-07-20,HDFCN20260720886476517,processed
setl_8ijl2z0ljch2vf,order_h9p89fkbi4o6q0,mer_xaji0y6dpbhsah,42499.00,852.98,153.54,41492.48,2026-07-23,HDFCN20260723811293744,processed
setl_j9boq0iq2fa39e,order_qlem1qq4d3kzvh,mer_xaji0y6dpbhsah,7988.50,162.77,29.30,7796.43,2026-07-22,HDFCN20260722420877774,processed
setl_npm6jqfwwxr5rd,order_nwxuj3ac6pe63l,mer_xaji0y6dpbhsah,4859.99,100.20,18.04,4741.75,2026-07-18,HDFCN20260718131656371,processed
setl_199dxj37c9h42m,order_eh5sw2292mtr6s,mer_xaji0y6dpbhsah,10892.99,220.86,39.75,10632.38,2026-07-10,HDFCN20260710162911855,processed
setl_7hez74lav71448,order_gv3z6bz8uug95r,mer_xaji0y6dpbhsah,466.00,12.32,2.22,451.46,2026-07-09,HDFCN20260709665269791,processed
setl_8o98bv78hu7f0i,order_zxvml90pxrlzu6,mer_xaji0y6dpbhsah,4223.50,87.47,15.74,4120.29,2026-07-11,HDFCN20260711290812817,processed
setl_qjqijc1ydmt8vt,order_ad3wrdhw9re2q6,mer_xaji0y6dpbhsah,-1373.00,0.00,0.00,-1373.00,2026-08-05,HDFCN20260805300341906,chargeback
setl_p9p9w4j66cnolj,order_3pt5r5rc6zs62y,mer_xaji0y6dpbhsah,-1603.00,0.00,0.00,-1603.00,2026-07-13,HDFCN20260713145822897,chargeback
