order_id,settlement_id,bank_reference,expected_match_status,edge_case_label,notes
order_fyb8dalfyo1750,setl_8qtty5y2jr8kk7,NEFT/HDFCN20260713436889280/RZPPAYOUT,matched,clean_match,regular sale
order_1zyrru7zkut6om,setl_x0h3jujd0ib6ii,NEFT/HDFCN20260725574997731/RZPPAYOUT,matched,clean_match,regular sale
order_ozd1at7o75rh8l,setl_or7875aud9k9tr,NEFT/HDFCN20260715997866344/RZPPAYOUT,matched,clean_match,regular sale
order_4qgefqjg02u1g4,setl_r7anqjluujmiyq,NEFT/HDFCN20260714250980852/RZPPAYOUT,matched,clean_match,regular sale
order_os6zle6kwhef0v,setl_zcuctsuflsehud,NEFT/HDFCN20260724667121569/RZPPAYOUT,matched,clean_match,regular sale
order_3qsqcq30o30ubm,setl_ex08n6q7nc85e4,NEFT/HDFCN20260711925677464/RZPPAYOUT,matched,clean_match,regular sale
order_gtt0iaakytt3im,setl_cvqy5ibpt11f9i,NEFT/HDFCN20260726321278458/RZPPAYOUT,matched,clean_match,regular sale
order_u13i59sojuv0gy,setl_kgtii4fqcootnj,NEFT/HDFCN20260713260221190/RZPPAYOUT,matched,clean_match,regular sale
order_x74d0gjyv5g10u,setl_9rivh6t1ntmjsr,NEFT/HDFCN20260731901955461/RZPPAYOUT,matched,clean_match,regular sale
order_201lhlb50atvzk,setl_38xrg2gzr7txcb,NEFT/HDFCN20260720919652226/RZPPAYOUT,matched,clean_match,regular sale
order_8y1o4izasnwywr,setl_szp7g7siwjm2c8,NEFT/HDFCN20260703118406723/RZPPAYOUT,matched,clean_match,regular sale
order_u9iy4x41dntcag,setl_6yuj7yktxg4ahf,NEFT/HDFCN20260731327007332/RZPPAYOUT,matched,clean_match,regular sale
order_7kuu4ytn02yc0m,setl_w2qitngvn1kicj,NEFT/HDFCN20260727131810311/RZPPAYOUT,matched,clean_match,regular sale
order_zw0ldalmjegqto,setl_l88kzruin3oeuv,NEFT/HDFCN20260727614332794/RZPPAYOUT,matched,bundled_match,bundled payout HDFCN20260727614332794 covering 3 orders
order_5ao20u9isygjjf,setl_tyt8qzpky32orw,NEFT/HDFCN20260727614332794/RZPPAYOUT,matched,bundled_match,bundled payout HDFCN20260727614332794 covering 3 orders
order_n7zrwqeao4n5pp,setl_ixz2c9ros7yt2m,NEFT/HDFCN20260727614332794/RZPPAYOUT,matched,bundled_match,bundled payout HDFCN20260727614332794 covering 3 orders
order_dixfwuxx8l2ddh,setl_vnzh13cd5glqj5,NEFT/HDFCN20260714582727494/RZPPAYOUT,matched,bundled_match,bundled payout HDFCN20260714582727494 covering 3 orders
order_1vsmado8e7flqh,setl_sxvwvm4w3zkwde,NEFT/HDFCN20260714582727494/RZPPAYOUT,matched,bundled_match,bundled payout HDFCN20260714582727494 covering 3 orders
order_k3e4xyf9igfu8i,setl_ekgyspengwyx9t,NEFT/HDFCN20260714582727494/RZPPAYOUT,matched,bundled_match,bundled payout HDFCN20260714582727494 covering 3 orders
order_kg4w58rhnuxorz,setl_gq01tee13n3bzt,NEFT/HDFCN20260712409957384/RZPPAYOUT,matched,partial_refund,net short by refund Rs 87.56
order_d31k9qm3p91i3v,setl_mktlzkj49yd827,NEFT/HDFCN20260706712112671/RZPPAYOUT,matched,partial_refund,net short by refund Rs 1181.94
order_5e5iz31yrujoqw,setl_4d8wz42o83rlkt,NEFT/HDFCN20260717931221434/RZPPAYOUT,matched,partial_refund,net short by refund Rs 3938.32
order_261bw4a7fq9p96,setl_6fokzixzareiya,NEFT/HDFCN20260711813510897/RZPPAYOUT,matched,rounding_diff,fee/tax rounding difference of Rs -1.45
order_yrid3dnkn35xyc,setl_wph6fe0mp2ixiv,NEFT/HDFCN20260725542070132/RZPPAYOUT,matched,rounding_diff,fee/tax rounding difference of Rs -0.31
order_4xkss0kb68rerv,setl_y181acjbc2swso,NEFT/HDFCN20260715686645526/RZPPAYOUT,matched,rounding_diff,fee/tax rounding difference of Rs 2.00
order_jlsh3tow4ycz04,setl_00ezzf8s2zge2j,NEFT/HDFCN20260722815197502/RZPPAYOUT,matched,rounding_diff,fee/tax rounding difference of Rs 0.22
order_1b3jczucqmrunj,setl_bn7g8b2zxii6l3,NEFT/HDFCN20260702362585121/RZPPAYOUT,matched,duplicate_id,ledger row entered twice; must match exactly once
order_eybisbo551ldqn,setl_61iaoim458ax40,NEFT/HDFCN20260720886476517/RZPPAYOUT,matched,duplicate_id,ledger row entered twice; must match exactly once
order_h9p89fkbi4o6q0,setl_8ijl2z0ljch2vf,NEFT/HDFCN20260723811293744/RZPPAYOUT,matched,date_drift,delayed settlement: 3-5 day lag
order_qlem1qq4d3kzvh,setl_j9boq0iq2fa39e,NEFT/HDFCN20260722420877774/RZPPAYOUT,matched,date_drift,delayed settlement: 3-5 day lag
order_nwxuj3ac6pe63l,setl_npm6jqfwwxr5rd,NEFT/HDFCN20260718131656371/RZPPAYOUT,matched,date_drift,delayed settlement: 3-5 day lag
order_eh5sw2292mtr6s,setl_199dxj37c9h42m,NEFT/HDFCN2026071016211855/RZPPAYOUT,matched,ref_typo,typo of true UTR HDFCN20260710162911855 in bank reference_no
order_gv3z6bz8uug95r,setl_7hez74lav71448,NEFT/HDFCN20260709665629791/RZPPAYOUT,matched,ref_typo,typo of true UTR HDFCN20260709665269791 in bank reference_no
order_zxvml90pxrlzu6,setl_8o98bv78hu7f0i,NEFT/HFCN20260711290812817/RZPPAYOUT,matched,ref_typo,typo of true UTR HDFCN20260711290812817 in bank reference_no
order_g5dzx5qjicjdan,,,pending,pending,no settlement/bank row yet
order_dr5xyfc4kl8cgn,,,pending,pending,no settlement/bank row yet
order_zpxvpbl9ot7txk,,,pending,pending,no settlement/bank row yet
order_ad3wrdhw9re2q6,setl_qjqijc1ydmt8vt,REV/HDFCN20260805300341906/CHARGEBACK,exception,chargeback,chargeback reversal of Rs 1373.00
order_3pt5r5rc6zs62y,setl_p9p9w4j66cnolj,REV/HDFCN20260713145822897/CHARGEBACK,exception,chargeback,chargeback reversal of Rs 1603.00
