date,description,reference_no,debit,credit,balance
2026-07-15,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260715997866344/RZPPAYOUT,0.00,788.32,1365777.59
2026-07-16,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260715686645526/RZPPAYOUT,0.00,5266.14,1371043.73
2026-07-16,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260716165082363/RZPPAYOUT,0.00,69749.01,1440792.74
2026-07-17,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260716909763993/RZPPAYOUT,0.00,20294.84,1461087.58
2026-07-17,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260717348545713/RZPPAYOUT,0.00,76688.76,1537776.34
2026-07-17,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260717735032128/RZPPAYOUT,0.00,770.26,1538546.60
2026-07-17,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260717931221434/RZPPAYOUT,0.00,13828.62,1552375.22
2026-07-17,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260717935504321/RZPPAYOUT,0.00,19884.74,1572259.96
2026-07-18,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260718679064766/RZPPAYOUT,0.00,1485.47,1573745.43
2026-07-19,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260718131656371/RZPPAYOUT,0.00,4741.75,1578487.18
2026-07-19,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260718836691577/RZPPAYOUT,0.00,801.01,1579288.19
2026-07-19,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260719604803700/RZPPAYOUT,0.00,7617.26,1586905.45
2026-07-20,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260719986171278/RZPPAYOUT,0.00,337.71,1587243.16
2026-07-20,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260720242224154/RZPPAYOUT,0.00,215.17,1587458.33
2026-07-20,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260720886476517/RZPPAYOUT,0.00,55451.10,1642909.43
2026-07-20,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260720919652226/RZPPAYOUT,0.00,2292.46,1645201.89
2026-07-21,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260720524951250/RZPPAYOUT,0.00,1324.85,1646526.74
2026-07-22,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260722815197502/RZPPAYOUT,0.00,201.24,1646727.98
2026-07-22,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260722895890631/RZPPAYOUT,0.00,6288.38,1653016.36
2026-07-23,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260722420877774/RZPPAYOUT,0.00,7796.43,1660812.79
2026-07-23,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260723811293744/RZPPAYOUT,0.00,41492.48,1702305.27
2026-07-25,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260724658260221/RZPPAYOUT,0.00,23325.59,1725630.86
2026-07-25,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260724667121569/RZPPAYOUT,0.00,3780.01,1729410.87
2026-07-25,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260724726745401/RZPPAYOUT,0.00,20072.22,1749483.09
2026-07-25,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260724952266893/RZPPAYOUT,0.00,83914.62,1833397.71
2026-07-25,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260725574997731/RZPPAYOUT,0.00,915.25,1834312.96
2026-07-26,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260725542070132/RZPPAYOUT,0.00,45409.49,1879722.45
2026-07-26,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260726803066091/RZPPAYOUT,0.00,37167.03,1916889.48
2026-07-26,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260726854684750/RZPPAYOUT,0.00,16685.58,1933575.06
2026-07-27,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260726321278458/RZPPAYOUT,0.00,28529.79,1962104.85
2026-07-27,RAZORPAY SOFTWARE PVT LTD BUNDLE PAYOUT,NEFT/HDFCN20260727614332794/RZPPAYOUT,0.00,37772.63,1999877.48
2026-07-27,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260727916033628/RZPPAYOUT,0.00,6613.51,2006490.99
2026-07-28,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260727131810311/RZPPAYOUT,0.00,12305.92,2018796.91
2026-07-28,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260727483298103/RZPPAYOUT,0.00,22252.52,2041049.43
2026-07-29,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260729271476207/RZPPAYOUT,0.00,7976.09,2049025.52
2026-07-31,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260730994253959/RZPPAYOUT,0.00,438.76,2049464.28
2026-07-31,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260731901955461/RZPPAYOUT,0.00,621.36,2050085.64
2026-08-01,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260731327007332/RZPPAYOUT,0.00,642.83,2050728.47
2026-08-01,RAZORPAY SOFTWARE PVT LTD PAYOUT,NEFT/HDFCN20260731403696046/RZPPAYOUT,0.00,59759.95,2110488.42
2026-08-06,RAZORPAY CHARGEBACK REVERSAL,REV/HDFCN20260805300341906/CHARGEBACK,1373.00,0.00,2109115.42
